CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Murder,3.0,,3.0,4.0,2.0,,,,,3.0,,AREA-A LION BUILDING,2014
Manslaughter,,,,,,,,,,,,AREA-A LION BUILDING,2014
Attempted Murder,1.0,,1.0,2.0,,,,,,,,AREA-A LION BUILDING,2014
Suicide,1.0,,1.0,,,,,,,,,AREA-A LION BUILDING,2014
Attempted Suicide,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2014
Grievous Harm and Wounding,80.0,7.0,73.0,75.0,20.0,3.0,2.0,1.0,3.0,,25.0,AREA-A LION BUILDING,2014
Assaults,163.0,18.0,145.0,138.0,44.0,2.0,2.0,2.0,4.0,,8.0,AREA-A LION BUILDING,2014
Child stealing,2.0,,2.0,2.0,1.0,,,,,,2.0,AREA-A LION BUILDING,2014
Slave Dealing,2.0,,2.0,2.0,1.0,1.0,1.0,,,,1.0,AREA-A LION BUILDING,2014
Rape and Incident Assault,7.0,1.0,6.0,5.0,1.0,,,,,,2.0,AREA-A LION BUILDING,2014
Kidnapping,1.0,,1.0,1.0,,1.0,,,,,,AREA-A LION BUILDING,2014
Unnatural Offences,3.0,,3.0,10.0,1.0,,,,,,,AREA-A LION BUILDING,2014
Other Offences,70.0,5.0,65.0,40.0,14.0,2.0,1.0,1.0,2.0,1.0,3.0,AREA-A LION BUILDING,2014
Armed Robbery,7.0,,7.0,15.0,1.0,1.0,1.0,,,,1.0,AREA-A LION BUILDING,2014
Demanding With Menance,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2014
Theft and other Stealing,230.0,14.0,216.0,190.0,40.0,4.0,1.0,1.0,,1.0,6.0,AREA-A LION BUILDING,2014
Burglary,20.0,2.0,18.0,10.0,1.0,,,,,,2.0,AREA-A LION BUILDING,2014
House Breaking,10.0,2.0,8.0,15.0,2.0,1.0,,,,,4.0,AREA-A LION BUILDING,2014
Store Breaking,7.0,1.0,6.0,7.0,1.0,1.0,,,,,,AREA-A LION BUILDING,2014
"False Pretences, Cheating",96.0,7.0,89.0,98.0,26.0,2.0,,,,,5.0,AREA-A LION BUILDING,2014
Forgery,7.0,1.0,6.0,4.0,1.0,,,,,,,AREA-A LION BUILDING,2014
Receiving Stolen Property,4.0,1.0,3.0,4.0,,,,,,,,AREA-A LION BUILDING,2014
Unlawful Possession,15.0,2.0,13.0,20.0,5.0,,,,,,2.0,AREA-A LION BUILDING,2014
Arson,2.0,,2.0,2.0,1.0,,,,,,,AREA-A LION BUILDING,2014
Other Offences,40.0,5.0,35.0,30.0,10.0,2.0,,,,,1.0,AREA-A LION BUILDING,2014
Forgery of Currency Notes,2.0,,2.0,,,,,,,,,AREA-A LION BUILDING,2014
Coining Offences,,,,,,,,,,,,AREA-A LION BUILDING,2014
Gambling,43.0,,43.0,10.0,14.0,2.0,1.0,,,,3.0,AREA-A LION BUILDING,2014
Breach of Public Peace,120.0,12.0,108.0,70.0,20.0,2.0,,,,,4.0,AREA-A LION BUILDING,2014
Perjury,,,,,,,,,,,,AREA-A LION BUILDING,2014
Bribery and Corruption,,,,,,,,,,,,AREA-A LION BUILDING,2014
Escape from Lawful Custody,2.0,,2.0,2.0,,,,,,,,AREA-A LION BUILDING,2014
Other Offences,250.0,25.0,225.0,260.0,19.0,3.0,4.0,,,,20.0,AREA-A LION BUILDING,2014
Offences Against Traffic Acts,2.0,,2.0,3.0,1.0,1.0,1.0,,,,4.0,AREA-A LION BUILDING,2014
Offences Against Township Acts,,,,,,,,,,,,AREA-A LION BUILDING,2014
Offences Against Liquor Acts,,,,,,,,,,,,AREA-A LION BUILDING,2014
Offences Against Dog Acts,,,,,,,,,,,,AREA-A LION BUILDING,2014
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-A LION BUILDING,2014
Narcotics,,,,,,,,,,,,AREA-A LION BUILDING,2014
Other Offences,2.0,,2.0,2.0,,,,,,,,AREA-A LION BUILDING,2014
Murder,4.0,,4.0,4.0,1.0,1.0,1.0,,,4.0,,AREA-B APAPA,2014
Manslaughter,,,,,,,,,,,,AREA-B APAPA,2014
Attempted Murder,1.0,,1.0,1.0,1.0,,,,,,,AREA-B APAPA,2014
Suicide,3.0,,3.0,,,,,,,3.0,,AREA-B APAPA,2014
Attempted Suicide,2.0,,2.0,2.0,,,,,,,,AREA-B APAPA,2014
Grievous Harm and Wounding,130.0,16.0,114.0,130.0,20.0,7.0,7.0,1.0,1.0,,35.0,AREA-B APAPA,2014
Assaults,185.0,20.0,165.0,140.0,60.0,6.0,2.0,1.0,1.0,,10.0,AREA-B APAPA,2014
Child stealing,4.0,1.0,3.0,2.0,1.0,,,,,,1.0,AREA-B APAPA,2014
Slave Dealing,2.0,,2.0,2.0,1.0,2.0,2.0,,,,1.0,AREA-B APAPA,2014
Rape and Incident Assault,10.0,1.0,9.0,6.0,2.0,1.0,2.0,1.0,,,2.0,AREA-B APAPA,2014
Kidnapping,1.0,,1.0,1.0,,,,,,,,AREA-B APAPA,2014
Unnatural Offences,5.0,1.0,4.0,15.0,2.0,,,,,,,AREA-B APAPA,2014
Other Offences,75.0,10.0,65.0,40.0,19.0,2.0,2.0,2.0,,2.0,3.0,AREA-B APAPA,2014
Armed Robbery,7.0,,7.0,20.0,1.0,,,,,,1.0,AREA-B APAPA,2014
Demanding With Menance,1.0,,1.0,1.0,,,,,,,,AREA-B APAPA,2014
Theft and other Stealing,220.0,20.0,200.0,200.0,30.0,12.0,5.0,2.0,,2.0,8.0,AREA-B APAPA,2014
Burglary,28.0,3.0,25.0,10.0,2.0,1.0,1.0,,,,2.0,AREA-B APAPA,2014
House Breaking,12.0,2.0,10.0,12.0,2.0,,,,,,3.0,AREA-B APAPA,2014
Store Breaking,12.0,1.0,11.0,9.0,1.0,,,,,,,AREA-B APAPA,2014
"False Pretences, Cheating",100.0,10.0,90.0,100.0,20.0,4.0,4.0,,,,5.0,AREA-B APAPA,2014
Forgery,6.0,,6.0,4.0,1.0,,,,,,,AREA-B APAPA,2014
Receiving Stolen Property,5.0,1.0,4.0,3.0,1.0,1.0,,,,,,AREA-B APAPA,2014
Unlawful Possession,20.0,2.0,18.0,25.0,4.0,1.0,1.0,1.0,,,4.0,AREA-B APAPA,2014
Arson,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,AREA-B APAPA,2014
Other Offences,40.0,5.0,35.0,40.0,15.0,2.0,,,,,,AREA-B APAPA,2014
Forgery of Currency Notes,2.0,,2.0,,,,,,,,,AREA-B APAPA,2014
Coining Offences,1.0,,1.0,,,,,,,,,AREA-B APAPA,2014
Gambling,56.0,,56.0,17.0,15.0,2.0,1.0,,,,1.0,AREA-B APAPA,2014
Breach of Public Peace,150.0,20.0,130.0,70.0,25.0,2.0,1.0,2.0,,,4.0,AREA-B APAPA,2014
Perjury,2.0,,2.0,3.0,,,,,,,,AREA-B APAPA,2014
Bribery and Corruption,,,,,,,,,,,,AREA-B APAPA,2014
Escape from Lawful Custody,3.0,1.0,2.0,3.0,,,,,,,,AREA-B APAPA,2014
Other Offences,300.0,30.0,270.0,250.0,90.0,5.0,3.0,1.0,,,30.0,AREA-B APAPA,2014
Offences Against Traffic Acts,10.0,,10.0,10.0,6.0,1.0,1.0,,,1.0,4.0,AREA-B APAPA,2014
Offences Against Township Acts,,,,,,,,,,,,AREA-B APAPA,2014
Offences Against Liquor Acts,,,,,,,,,,,,AREA-B APAPA,2014
Offences Against Dog Acts,,,,,,,,,,,,AREA-B APAPA,2014
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-B APAPA,2014
Narcotics,,,,,,,,,,,,AREA-B APAPA,2014
Other Offences,4.0,,4.0,4.0,,,,,,,,AREA-B APAPA,2014
Murder,7.0,,7.0,7.0,1.0,,,,,7.0,,AREA-C SURULERE,2014
Manslaughter,,,,,,,,,,,,AREA-C SURULERE,2014
Attempted Murder,1.0,,1.0,2.0,,,,,,,1.0,AREA-C SURULERE,2014
Suicide,5.0,,5.0,,,,,,,5.0,,AREA-C SURULERE,2014
Attempted Suicide,3.0,,3.0,3.0,,,,,,,,AREA-C SURULERE,2014
Grievous Harm and Wounding,105.0,8.0,97.0,70.0,28.0,5.0,6.0,1.0,2.0,,34.0,AREA-C SURULERE,2014
Assaults,190.0,14.0,176.0,150.0,60.0,6.0,2.0,2.0,1.0,,25.0,AREA-C SURULERE,2014
Child stealing,4.0,1.0,3.0,3.0,1.0,,,,,,2.0,AREA-C SURULERE,2014
Slave Dealing,4.0,1.0,3.0,1.0,2.0,,,,,,1.0,AREA-C SURULERE,2014
Rape and Incident Assault,9.0,1.0,8.0,6.0,2.0,2.0,1.0,,,,4.0,AREA-C SURULERE,2014
Kidnapping,3.0,1.0,2.0,2.0,,,,,,,,AREA-C SURULERE,2014
Unnatural Offences,7.0,,7.0,15.0,1.0,,,,,,,AREA-C SURULERE,2014
Other Offences,80.0,8.0,72.0,43.0,15.0,8.0,2.0,1.0,,1.0,4.0,AREA-C SURULERE,2014
Armed Robbery,7.0,,7.0,24.0,1.0,,,,,,1.0,AREA-C SURULERE,2014
Demanding With Menance,3.0,1.0,2.0,2.0,,,,,,,,AREA-C SURULERE,2014
Theft and other Stealing,235.0,23.0,212.0,190.0,40.0,15.0,1.0,1.0,,1.0,12.0,AREA-C SURULERE,2014
Burglary,40.0,3.0,37.0,19.0,2.0,3.0,,,,,2.0,AREA-C SURULERE,2014
House Breaking,17.0,1.0,16.0,20.0,3.0,,,,,,3.0,AREA-C SURULERE,2014
Store Breaking,16.0,2.0,14.0,10.0,4.0,,,,,,,AREA-C SURULERE,2014
"False Pretences, Cheating",102.0,12.0,90.0,95.0,15.0,4.0,2.0,,,,6.0,AREA-C SURULERE,2014
